id,duration,blue_gold,red_gold,gold_diff,blue_xp,red_xp,xp_diff,blue_ward_placed,red_ward_placed,ward_placed_diff,blue_ward_destroyed,red_ward_destroyed,ward_destroyed_diff,first_blood,blue_kills,red_kills,kill_diff,first_turret,blue_turrets,red_turrets,turret_diff,first_inhibitor,blue_inhibitors,red_inhibitors,inhibitor_diff,first_herald,blue_heralds,red_heralds,herald_diff,first_baron,blue_barons,red_barons,baron_diff,blue_air,red_air,air_diff,blue_hextech,red_hextech,hextech_diff,blue_fire,red_fire,fire_diff,blue_earth,red_earth,earth_diff,blue_water,red_water,water_diff,air,hextech,fire,earth,water,blue_win
5895380841,2018983,58164,50752,7412,69811,61836,7975,47,53,-6,15,5,10,1,41,19,22,1,6,3,3,0,0,0,0,1,1,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,1,1,2,-1,0,0,0,0,0,0,0,0,1
5895109626,2227017,54824,48033,6791,69397,66712,2685,61,59,2,16,10,6,1,27,15,12,-1,6,3,3,0,0,0,0,1,1,1,0,-1,0,1,-1,0,1,-1,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,1
5894770433,1861608,49996,56248,-6252,63756,73486,-9730,69,63,6,28,23,5,1,16,27,-11,1,2,4,-2,0,0,0,0,1,2,0,2,-1,0,1,-1,0,0,0,0,1,-1,2,1,1,0,1,-1,0,0,0,0,0,0,0,0,0
5894637522,1929511,61428,50484,10944,67562,56323,11239,59,43,16,8,15,-7,1,42,27,15,-1,7,3,4,1,1,0,1,1,1,1,0,1,1,0,1,0,1,-1,0,0,0,0,1,-1,2,0,2,0,0,0,0,0,0,0,0,1
5894700788,1930448,59179,60499,-1320,71179,75147,-3968,49,51,-2,5,12,-7,-1,35,33,2,1,4,7,-3,-1,0,1,-1,-1,0,1,-1,-1,0,1,-1,1,1,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
5894544632,1901177,47689,59208,-11519,61572,70833,-9261,43,48,-5,8,17,-9,-1,22,36,-14,-1,0,8,-8,-1,0,1,-1,-1,0,2,-2,-1,0,1,-1,1,0,1,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
5894386490,2310662,51498,61754,-10256,61060,75179,-14119,62,68,-6,17,14,3,-1,22,46,-24,1,4,3,1,0,0,0,0,-1,0,1,-1,0,0,0,0,1,1,0,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
5894272358,2411082,58612,48634,9978,69354,60568,8786,107,53,54,8,12,-4,1,37,22,15,-1,8,2,6,1,2,0,2,1,1,1,0,1,1,0,1,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5894127200,1909735,57233,57293,-60,65740,66662,-922,61,50,11,5,8,-3,1,30,34,-4,-1,8,6,2,1,2,0,2,-1,1,1,0,1,1,0,1,0,1,-1,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
5894152170,2374791,54810,56621,-1811,64325,67483,-3158,45,54,-9,9,6,3,1,36,30,6,1,3,6,-3,-1,0,1,-1,-1,0,1,-1,-1,0,1,-1,0,0,0,1,1,0,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0
